"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-10","Canada","2016A000011124","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057606","1.4.1.1","325.4","","","","1"
"2022-11","Canada","2016A000011124","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057606","1.4.1.1","324.4","","","","1"
"2022-12","Canada","2016A000011124","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057606","1.4.1.1","323.1","","","","1"
"2022-01","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","144.2","","","","1"
"2022-02","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","143.8","","","","1"
"2022-03","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","140.1","","","","1"
"2022-04","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","147.5","","","","1"
"2022-05","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","149.2","","","","1"
"2022-06","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","146.3","","","","1"
"2022-07","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","148.4","","","","1"
"2022-08","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","151.8","","","","1"
"2022-09","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","155.2","","","","1"
"2022-10","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","155.2","","","","1"
"2022-11","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","152.3","","","","1"
"2022-12","Canada","2016A000011124","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057607","1.5.1.1","145.4","","","","1"
"2022-01","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1496.5","","","","1"
"2022-02","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1538.9","","","","1"
"2022-03","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1538.5","","","","1"
"2022-04","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1545.2","","","","1"
"2022-05","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1549.5","","","","1"
"2022-06","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1554.4","","","","1"
"2022-07","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1565.7","","","","1"
"2022-08","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1560.6","","","","1"
"2022-09","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1545.8","","","","1"
"2022-10","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1576.9","","","","1"
"2022-11","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1568.5","","","","1"
"2022-12","Canada","2016A000011124","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057608","1.6.1.1","1595.1","","","","1"
"2022-01","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1783.5","","","","1"
"2022-02","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1793.5","","","","1"
"2022-03","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1793.3","","","","1"
"2022-04","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057609","1.7.1.1","1791.6","","","","1"
