"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Prince Edward Island","2016A000211","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057658","3.18.1.1","3.1","","","","1"
"2019-07","Prince Edward Island","2016A000211","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057659","3.19.1.1","8.4","","","","1"
"2019-07","Nova Scotia","2016A000212","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057662","4.3.1.1","6.2","","","","1"
"2019-07","Nova Scotia","2016A000212","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057663","4.4.1.1","10.2","","","","1"
"2019-07","Nova Scotia","2016A000212","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057664","4.5.1.1","3.6","","","","1"
"2019-07","Nova Scotia","2016A000212","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057665","4.6.1.1","33.9","","","","1"
"2019-07","Nova Scotia","2016A000212","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057666","4.7.1.1","32.7","","","","1"
"2019-07","Nova Scotia","2016A000212","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057668","4.9.1.1","80.5","","","","1"
"2019-07","Nova Scotia","2016A000212","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057669","4.10.1.1","19.2","","","","1"
"2019-07","Nova Scotia","2016A000212","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057670","4.11.1.1","22.0","","","","1"
"2019-07","Nova Scotia","2016A000212","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057671","4.12.1.1","26.6","","","","1"
"2019-07","Nova Scotia","2016A000212","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057672","4.13.1.1","17.2","","","","1"
"2019-07","Nova Scotia","2016A000212","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057673","4.14.1.1","34.4","","","","1"
"2019-07","Nova Scotia","2016A000212","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057674","4.15.1.1","75.6","","","","1"
"2019-07","Nova Scotia","2016A000212","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057675","4.16.1.1","19.4","","","","1"
"2019-07","Nova Scotia","2016A000212","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057676","4.17.1.1","34.6","","","","1"
"2019-07","Nova Scotia","2016A000212","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057677","4.18.1.1","17.7","","","","1"
"2019-07","Nova Scotia","2016A000212","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057678","4.19.1.1","31.8","","","","1"
"2019-07","New Brunswick","2016A000213","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057681","5.3.1.1","6.4","","","","1"
