"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-07","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.2","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","13.7","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057626","2.5.1.1","3.4","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057627","2.6.1.1","19.8","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057628","2.7.1.1","8.8","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057630","2.9.1.1","37.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057631","2.10.1.1","13.4","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057632","2.11.1.1","8.2","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057633","2.12.1.1","11.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057634","2.13.1.1","5.6","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057635","2.14.1.1","16.3","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057636","2.15.1.1","40.8","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057637","2.16.1.1","7.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057638","2.17.1.1","16.4","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057639","2.18.1.1","8.8","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057640","2.19.1.1","15.9","","","","1"
"2018-07","Prince Edward Island","2016A000211","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057643","3.3.1.1","3.8","","","","1"
"2018-07","Prince Edward Island","2016A000211","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057644","3.4.1.1","2.5","","","","1"
"2018-07","Prince Edward Island","2016A000211","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057645","3.5.1.1","0.3","","","","1"
"2018-07","Prince Edward Island","2016A000211","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057646","3.6.1.1","6.1","","","","1"
"2018-07","Prince Edward Island","2016A000211","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057647","3.7.1.1","6.9","","","","1"
"2018-07","Prince Edward Island","2016A000211","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057649","3.9.1.1","11.6","","","","1"
"2018-07","Prince Edward Island","2016A000211","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057650","3.10.1.1","3.0","","","","1"
"2018-07","Prince Edward Island","2016A000211","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057651","3.11.1.1","2.8","","","","1"
"2018-07","Prince Edward Island","2016A000211","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057652","3.12.1.1","3.7","","","","1"
"2018-07","Prince Edward Island","2016A000211","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057653","3.13.1.1","1.9","","","","1"
"2018-07","Prince Edward Island","2016A000211","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057654","3.14.1.1","5.3","","","","1"
"2018-07","Prince Edward Island","2016A000211","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057655","3.15.1.1","9.5","","","","1"
"2018-07","Prince Edward Island","2016A000211","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057656","3.16.1.1","2.8","","","","1"
"2018-07","Prince Edward Island","2016A000211","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057657","3.17.1.1","6.7","","","","1"
"2018-07","Prince Edward Island","2016A000211","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057658","3.18.1.1","3.3","","","","1"
"2018-07","Prince Edward Island","2016A000211","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057659","3.19.1.1","7.1","","","","1"
"2018-07","Nova Scotia","2016A000212","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057662","4.3.1.1","4.8","","","","1"
"2018-07","Nova Scotia","2016A000212","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057663","4.4.1.1","9.1","","","","1"
"2018-07","Nova Scotia","2016A000212","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057664","4.5.1.1","3.8","","","","1"
"2018-07","Nova Scotia","2016A000212","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057665","4.6.1.1","30.1","","","","1"
"2018-07","Nova Scotia","2016A000212","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057666","4.7.1.1","33.0","","","","1"
"2018-07","Nova Scotia","2016A000212","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057668","4.9.1.1","82.4","","","","1"
"2018-07","Nova Scotia","2016A000212","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057669","4.10.1.1","19.0","","","","1"
"2018-07","Nova Scotia","2016A000212","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057670","4.11.1.1","21.7","","","","1"
"2018-07","Nova Scotia","2016A000212","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057671","4.12.1.1","26.6","","","","1"
"2018-07","Nova Scotia","2016A000212","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057672","4.13.1.1","18.0","","","","1"
"2018-07","Nova Scotia","2016A000212","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057673","4.14.1.1","36.3","","","","1"
"2018-07","Nova Scotia","2016A000212","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057674","4.15.1.1","65.5","","","","1"
"2018-07","Nova Scotia","2016A000212","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057675","4.16.1.1","17.6","","","","1"
"2018-07","Nova Scotia","2016A000212","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057676","4.17.1.1","32.7","","","","1"
"2018-07","Nova Scotia","2016A000212","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057677","4.18.1.1","18.9","","","","1"
"2018-07","Nova Scotia","2016A000212","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057678","4.19.1.1","29.8","","","","1"
"2018-07","New Brunswick","2016A000213","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057681","5.3.1.1","5.5","","","","1"
"2018-07","New Brunswick","2016A000213","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057682","5.4.1.1","9.4","","","","1"
"2018-07","New Brunswick","2016A000213","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057683","5.5.1.1","2.8","","","","1"
"2018-07","New Brunswick","2016A000213","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057684","5.6.1.1","23.2","","","","1"
